iter	Passed	Remaining
0	57	57918
1	58	29156
2	58	19555
3	59	14761
4	59	11890
5	60	9964
6	60	8587
7	60	7557
8	61	6750
9	61	6107
10	62	5581
11	62	5139
12	62	4768
13	63	4454
14	63	4181
15	63	3935
16	64	3723
17	64	3532
18	65	3362
19	65	3211
20	66	3103
21	67	2981
22	67	2865
23	67	2760
24	68	2664
25	68	2575
26	69	2490
27	69	2413
28	69	2340
29	70	2273
30	70	2209
31	71	2150
32	71	2093
33	71	2041
34	72	1990
35	72	1943
36	72	1898
37	73	1856
38	73	1815
39	74	1777
40	74	1740
41	74	1706
42	75	1673
43	75	1643
44	76	1614
45	76	1586
46	77	1562
47	77	1537
48	77	1512
49	78	1489
50	78	1468
51	79	1455
52	80	1433
53	80	1413
54	81	1393
55	81	1374
56	82	1356
57	82	1340
58	82	1322
59	83	1305
60	83	1289
61	84	1272
62	84	1256
63	84	1240
64	85	1226
65	85	1212
66	86	1198
67	86	1184
68	86	1170
69	87	1157
70	87	1144
71	87	1131
72	88	1119
73	88	1107
74	88	1096
75	89	1085
76	89	1075
77	90	1064
78	90	1054
79	90	1043
80	91	1033
81	91	1023
82	91	1012
83	91	1002
84	92	993
85	92	985
86	93	977
87	93	968
88	93	959
89	94	951
90	94	944
91	94	936
92	95	929
93	95	921
94	96	914
95	96	908
96	96	901
97	97	895
98	97	888
99	97	881
100	98	874
101	98	868
102	98	861
103	99	855
104	99	849
105	100	843
106	100	838
107	100	832
108	101	826
109	101	821
110	101	816
111	102	810
112	102	805
113	103	800
114	103	795
115	103	790
116	103	784
117	104	780
118	104	775
119	105	770
120	105	766
121	105	760
122	106	756
123	106	752
124	106	747
125	107	743
126	107	738
127	107	734
128	108	730
129	108	726
130	108	722
131	109	719
132	109	715
133	110	711
134	110	708
135	110	705
136	111	701
137	111	697
138	112	694
139	112	690
140	113	688
141	113	684
142	113	681
143	114	677
144	114	674
145	114	670
146	115	667
147	115	664
148	115	661
149	116	658
150	116	655
151	116	652
152	117	649
153	117	646
154	117	643
155	118	640
156	118	637
157	119	634
158	119	631
159	119	628
160	119	624
161	120	622
162	120	619
163	121	617
164	121	614
165	121	611
166	122	609
167	122	606
168	122	604
169	123	601
170	123	599
171	124	597
172	124	596
173	125	594
174	125	593
175	126	591
176	126	589
177	127	588
178	127	586
179	128	584
180	128	583
181	129	581
182	129	579
183	130	578
184	130	576
185	131	575
186	132	574
187	132	573
188	133	572
189	133	570
190	134	569
191	135	568
192	135	566
193	135	564
194	136	563
195	136	561
196	137	559
197	137	557
198	138	556
199	138	554
200	139	552
201	139	551
202	139	549
203	140	547
204	140	546
205	141	544
206	141	542
207	142	541
208	142	539
209	142	537
210	143	535
211	143	534
212	144	532
213	144	530
214	145	529
215	145	528
216	145	526
217	146	525
218	146	524
219	147	522
220	147	521
221	148	520
222	148	518
223	149	517
224	149	515
225	150	513
226	150	511
227	150	510
228	150	508
229	151	506
230	151	505
231	152	503
232	152	501
233	152	500
234	153	498
235	153	496
236	153	495
237	154	493
238	154	492
239	155	490
240	155	489
241	155	488
242	156	486
243	156	485
244	157	483
245	157	482
246	157	481
247	158	479
248	158	478
249	159	477
250	159	475
251	159	474
252	160	473
253	160	472
254	161	470
255	161	469
256	161	467
257	162	466
258	162	465
259	162	463
260	163	461
261	163	460
262	163	458
263	164	457
264	164	455
265	164	454
266	164	452
267	165	451
268	165	449
269	165	448
270	166	447
271	166	445
272	166	444
273	167	442
274	167	441
275	167	440
276	168	439
277	168	438
278	169	437
279	169	436
280	170	435
281	170	433
